EdgeId,FromRide,ToRide,WeightValue
1,A,C,1
2,C,A,1
3,A,D,1
4,D,A,1
5,C,D,1
6,D,C,1
7,B,E,2
8,E,B,2
9,C,F,1
10,F,C,1
11,G,D,1
12,D,G,1
13,G,H,2
14,H,G,2
15,F,G,1
16,G,F,1
17,G,I,2
18,I,G,2
19,T,J,2
20,J,T,2
21,J,K,2
22,K,J,2
23,H,K,1
24,K,H,1
25,K,L,1
26,L,K,1
27,F,L,2
28,L,F,2
29,I,M,1
30,M,I,1
31,E,M,2
32,M,E,2
33,E,N,3
34,N,E,3
35,B,N,3
36,N,B,3
37,J,O,1
38,O,J,1
39,J,M,1
40,M,J,1
41,M,O,1
42,O,M,1
43,T,Q,1
44,Q,T,1
45,T,S,1
46,S,T,1
47,T,U,1
48,U,T,1
49,U,S,1
50,S,U,1
51,S,R,1
52,R,S,1
53,S,P,1
54,P,S,1
55,S,Q,1
56,Q,S,1
57,R,P,1
58,P,R,1
59,O,P,1
60,P,O,1
61,O,Q,1
62,Q,O,1
63,A,B,1
64,B,A,1
65,I,J,1
66,J,I,1
